cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
505,5,2.0,0.0004241130150415011,-1.1863508130106868,0.00957414910313365,-0.2782813724187321,0,-0.27722259115222414,0,-0.28887492210758126,0,-0.28376747486241527,0
506,8,1.0,0.00034991662032551554,-0.014334022922386743,1.8865259675413466,-4.2879967342478805e-05,0,-3.818909947694772e-05,0,-4.286240542324141e-05,0,-4.8502694251210825e-05,0
507,6,1.0,0.0008569440278103492,-0.12223279826952152,7.142278054059703,-0.0009987391868331835,0,-0.0010041349249127007,0,-0.0010041229668221457,0,-0.0010058180526225818,0
508,2,1.0,0.000692840031453422,-0.6463673067391381,0.00145316704457021,-0.44980448378115057,0,-0.44990933327318317,0,-0.44980448378115057,0,-0.39403354768688814,0
509,8,1.0,0.009162292324841068,-0.42816646133100716,1.2338291856481924,-0.01625567162194881,0,-0.07329451312986397,0,-0.07079787699112554,0,-0.07392186831622462,0
510,8,2.0,0.010505371739995002,-0.01338750442559479,7.3033773502834975,-1.2101600185319143e-05,0,-1.2269265713541628e-05,0,-1.2244226210634663e-05,0,-1.2269621676139728e-05,0
511,6,1.0,0.002593574567079137,-0.7543360354926937,2.589374180190492,-0.08527801390691257,0,-0.08668533378626897,0,-0.0862963355781767,0,-0.10143980676516441,0
512,8,1.0,0.002078992661852538,-0.050614420581599415,1.9512164245086752,-7.969918458528773e-05,0,-0.0003523971938019287,0,-0.0001432066592051385,0,-0.0003599488915783275,0
513,4,2.0,0.021205280982544806,-2.852381080475399,0.026417488516788608,-0.3365910607936371,0,-0.3324487102356102,0,-0.3324640949698505,0,-0.3262968446220498,0
514,3,1.0,0.0005929343070403505,-0.01818601436431775,0.5775173183940558,-0.00019927966511883817,0,-0.00019992185336215014,0,-0.00019974589755681444,0,-0.0002004167011250973,0
515,2,2.0,0.003877280175611338,-1.116117946356669,0.37347360920450534,-1.5251901345107906,0,-1.5286204753680654,0,-1.5251901345107906,0,-1.5218839453567397,0
516,3,2.0,0.0012572078988994369,-0.04539477094142525,0.17479065831960855,-0.0017947068032651541,0,-0.0019006929684638732,0,-0.0017939577482099043,0,-0.0019006878285855698,0
517,3,1.0,0.005178898877514859,-8.775264347054495,0.011095839137622432,-47.16989575018124,0,-104.56025500966189,0,-64.97685667694395,0,-105.39317615243408,0
518,6,2.0,0.0006312173642999989,-1.6373286967699268,0.002138577227658706,-1.722981635632209,0,-1.972647028653114,0,-1.9705995662875466,0,-3.3353830783485137,0
519,7,1.0,0.001648694868603846,-0.035092773565128924,0.0014430832117249984,-4.3609509618014464e-05,0,2.4510293752944e-06,1,-4.1853962264915e-05,0,-0.00010802837002599208,0
520,5,2.0,0.007580303587466475,-3.6393420613290157,0.2907947862491297,-14.75179237337587,0,-16.599595900403386,0,-16.51679202049852,0,-16.42523427369442,0
521,2,1.0,0.012697877352050014,-0.30773172999347176,0.0027435299122007422,-0.0008864173861020674,0,-0.0008863377937089467,0,-0.0008864173861020674,0,-0.0008856819843074959,0
522,5,1.0,0.004637099104313516,-1.5617694534103268,0.0026447168363962605,-128.64558640988707,0,-61.906180640568664,0,-186.4544007455351,0,-304.68416746854456,0
523,7,1.0,0.00495706222592253,-1.0174973072763425,0.05892235933856345,-0.10219910216728678,0,-2.480474998793045,0,-1.2728549818873338,0,-3.1819429598394358,0
524,3,1.0,0.0014996516639695743,-0.4836678064710938,0.09703180575318879,-0.7738231584733373,0,-0.7915246079128688,0,-0.7539721720447388,0,-0.8183437138106286,0
