M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,0.01,4.0,B,4,0.49511861516543576,-0.00488138483456424,0.023577076912639806,2.8875354804754215e-05,1.9164108352801755e-05,1.0842021724855044e-19,,False
1.0,0.01,4.0,B,6,0.4880226729671538,-0.011977327032846208,0.0232391749031978,3.585945208807244e-05,2.6218046608953166e-05,0.0,,False
1.0,0.01,4.0,B,8,0.48359689974151954,-0.016403100258480463,0.023028423797215206,4.0241201192399136e-05,3.064361320432313e-05,-3.2526065174565133e-19,,False
1.0,0.01,4.0,B,12,0.479098953608908,-0.020901046391092026,0.02281423588613848,4.4714997790952854e-05,3.5162147768862386e-05,1.0842021724855044e-19,,False
1.0,0.01,4.0,B,16,0.4773342471539879,-0.022665752846012077,0.02273020224542801,4.647596264324821e-05,3.694072226968069e-05,2.168404344971009e-19,,False
1.0,0.01,4.0,B,24,0.47636759627094855,-0.023632403729051454,0.022684171250997535,4.744194400556241e-05,3.7916363445618044e-05,-3.2526065174565133e-19,,False
1.0,0.01,4.0,B,32,0.4762179160942625,-0.023782083905737494,0.022677043623536307,4.759160811054774e-05,3.806752419165323e-05,-1.0842021724855044e-19,,False
1.0,0.01,4.0,B,48,0.4761911348701921,-0.0238088651298079,0.022675768327152013,4.7618388939559525e-05,3.809457282895511e-05,2.168404344971009e-19,,False
1.0,0.01,4.0,B,64,0.4761904920019353,-0.023809507998064694,0.02267573771437787,4.7619031807588463e-05,3.8095222125664345e-05,0.0,,False
1.0,0.01,4.0,A,143,0.47619047619047616,-0.023809523809523836,0.022675736961451105,4.761904761904748e-05,3.809523809523798e-05,-3.2526065174565133e-18,90,True
1.0,0.01,4.0,B,130,0.4761904761904795,-0.023809523809520505,0.022675736961451413,4.761904761904434e-05,3.8095238095234765e-05,2.168404344971009e-19,90,True
